worker_id,skills,experience_years,skill_level,rating,jobs_completed,reliability_score,attendance_rate,expected_daily_wage,response_time,latitude,longitude
W001,"concrete, masonry, painting, tiling",4,beginner,2.8,18,0.84,0.96,678,7.3,18.81907,72.737478
W002,"masonry, electrical",4,expert,4.1,74,0.71,0.78,1069,9.8,18.803899,73.022328
W003,"carpentry, tiling, welding, concrete",4,intermediate,2.8,53,0.55,0.94,1736,3.5,18.82607,72.88377
W004,"carpentry, masonry",9,intermediate,4.6,84,0.94,0.74,893,8.6,18.827495,72.791159
W005,"concrete, carpentry, welding",14,beginner,3.5,63,0.82,0.75,1258,4.6,19.202105,72.980728
W006,"concrete, electrical, painting, welding",9,expert,3.1,64,0.69,1.0,1810,8.4,18.931769,72.829713
W007,"plumbing, carpentry",1,intermediate,3.5,13,0.61,0.98,1970,4.1,19.193263,72.858253
W008,"welding, concrete, tiling, carpentry",4,expert,3.9,38,0.87,0.77,1695,5.1,18.931592,73.099015
W009,"welding, masonry, carpentry, painting",3,expert,2.9,92,0.71,0.63,1281,7.4,19.08083,72.800566
W010,"masonry, painting, carpentry, welding",11,expert,4.4,103,0.82,0.64,1390,2.3,18.801947,72.988837
W011,"electrical, welding, concrete, carpentry",15,beginner,4.7,43,0.92,0.8,907,2.3,19.257506,72.915752
W012,"masonry, electrical, tiling, plumbing",1,beginner,4.8,117,0.99,0.92,990,1.2,19.326806,73.07878
W013,"welding, carpentry",2,expert,4.4,21,0.83,0.98,838,3.5,19.32346,72.869255
W014,"plumbing, painting",5,intermediate,5.0,88,0.69,0.96,1424,1.9,18.934818,72.835234
W015,"plumbing, electrical, concrete, masonry",2,expert,4.1,34,0.53,0.61,1176,1.3,18.942803,72.967591
W016,"tiling, painting",15,expert,3.9,36,0.89,0.92,889,1.6,19.19539,72.841719
W017,"welding, carpentry, painting",1,expert,4.1,87,0.55,0.76,1194,9.7,18.865561,72.776636
W018,"welding, concrete, plumbing, carpentry",5,intermediate,3.1,14,0.72,0.94,1627,1.6,19.191287,72.916235
W019,"concrete, carpentry",14,beginner,2.9,67,0.74,0.95,620,2.4,18.801293,72.856169
W020,"electrical, plumbing, painting",12,expert,4.2,67,0.58,0.72,619,7.2,19.125317,72.99919
W021,"masonry, electrical",8,expert,4.8,72,0.58,0.98,664,10.3,18.841113,72.727184
W022,"carpentry, masonry",15,expert,3.1,81,0.52,0.63,1846,7.2,19.11367,73.073883
W023,"painting, concrete",5,intermediate,2.8,87,0.65,0.73,648,0.6,19.172696,72.925197
W024,"concrete, electrical",4,expert,3.2,49,0.94,0.95,1256,3.8,19.062911,72.917287
W025,"masonry, painting, electrical",5,expert,2.8,117,0.57,0.65,719,9.0,18.893269,72.812703
W026,"painting, concrete",11,expert,4.6,69,0.74,0.96,604,1.6,19.054145,72.810672
W027,"painting, carpentry",3,expert,4.9,25,0.87,0.82,1375,7.0,18.867124,73.07802
W028,"tiling, electrical, masonry, welding",10,expert,2.9,21,0.52,0.75,581,10.8,18.926046,72.799812
W029,"painting, carpentry",9,intermediate,4.9,100,0.58,0.97,832,11.7,19.286463,73.052566
W030,"tiling, painting",15,intermediate,4.5,57,0.9,0.95,1008,3.6,19.272425,72.743238
W031,"welding, concrete",4,intermediate,3.4,110,0.9,0.69,548,8.1,19.03908,72.811441
W032,"electrical, tiling",11,expert,3.5,112,0.77,0.98,736,10.6,18.956729,72.932236
W033,"masonry, welding, electrical",7,intermediate,4.3,45,0.72,0.99,736,4.9,19.145953,72.801889
W034,"carpentry, masonry, electrical, painting",11,expert,4.9,99,0.84,0.75,643,11.4,19.352463,72.949262
W035,"concrete, painting, tiling, electrical",5,expert,3.5,56,0.85,0.82,892,5.3,19.364218,72.970927
W036,"electrical, plumbing",9,beginner,3.3,31,0.71,0.83,1840,4.2,19.065072,72.970251
W037,"welding, carpentry, painting, concrete",11,beginner,3.2,89,0.82,0.73,981,8.2,18.934784,72.779652
W038,"masonry, concrete",8,expert,4.6,14,0.73,0.95,1678,2.7,19.217813,72.897751
W039,"tiling, painting",12,beginner,4.7,115,0.89,0.64,1370,3.0,19.282466,72.978365
W040,"masonry, electrical, concrete",15,beginner,3.6,107,0.73,0.81,1644,7.3,19.370024,73.05657
W041,"carpentry, welding, electrical, plumbing",15,beginner,4.4,65,0.73,0.9,1805,3.7,19.266605,72.893839
W042,"electrical, plumbing",2,expert,3.2,39,0.67,0.96,665,2.1,18.938757,72.97758
W043,"plumbing, masonry, welding, painting",6,expert,3.7,12,0.6,0.77,1696,11.4,18.811719,73.052263
W044,"carpentry, plumbing, masonry, tiling",5,intermediate,4.6,111,0.71,0.9,1618,9.7,19.338687,72.895292
W045,"carpentry, plumbing, masonry",7,intermediate,4.2,107,0.7,0.67,1457,11.1,19.388433,72.913649
W046,"masonry, welding, painting",7,beginner,4.7,28,0.53,0.75,933,5.7,19.0025,73.051856
W047,"carpentry, tiling, masonry",8,beginner,4.4,11,1.0,0.74,1831,1.3,19.374371,72.716103
W048,"plumbing, concrete",14,beginner,4.1,35,0.56,0.87,1655,11.4,19.07902,72.802497
W049,"tiling, electrical, carpentry",12,expert,2.8,109,0.58,0.72,1685,0.8,18.987174,72.970939
W050,"carpentry, painting, concrete",2,expert,4.2,85,0.62,0.88,1117,10.3,19.160247,72.748422
W051,"masonry, tiling, electrical, plumbing",11,intermediate,2.7,87,0.67,0.94,1503,1.7,19.376473,72.954234
